Deutsch,Französisch,Elsässisch,Département,nom_commune,latitude,longitude
Gerstheim,Gerstheim,Geerschte,Unterelsass,Schlettstadt-Erstein,,
Gertweiler,Gertwiller,Gertwiller,Unterelsass,Schlettstadt-Erstein,,
Geudertheim,Geudertheim,Gaiderte,Unterelsass,Straßburg-Land,,
Gevenatten,Guevenatten,Gavenàtt,Oberelsass,Altkirch,47.62103365,7.244843296
Gewenheim,Guewenheim,Gaiwene,Oberelsass,Thann,47.81391113,7.095024572
Gildweiler,Gildwiller,Gìldwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Gingsheim,Gingsheim,Gìngse,Unterelsass,Straßburg-Land,,
Goldbach-Altenbach,Goldbach-Altenbach,Golbàch-Àltebàch,Oberelsass,Thann,47.81391113,7.095024572
Gommersdorf,Gommersdorf,Gummerschdorf,Oberelsass,Altkirch,47.62103365,7.244843296
Görlingen,Gœrlingen,Geerlinge,Unterelsass,Zabern,,
Görsdorf,Gœrsdorf,Gerschdorf,Unterelsass,Haguenau-Wissembourg,,
Gottenhausen,Gottenhouse,Gottehüse,Unterelsass,Zabern,,
Gottesheim,Gottesheim,Gottsne,Unterelsass,Zabern,,
Gottesthal-Luttern,Valdieu-Lutran,(*) Grüene-Lüttre,Oberelsass,Altkirch,47.62103365,7.244843296
Goxweiler,Goxwiller,Gogschwiller,Unterelsass,Schlettstadt-Erstein,,
Grassendorf,Grassendorf,Gràssedorf,Unterelsass,Straßburg-Land,,
Grendelbruch,Grendelbruch,Grandelbrüech,Unterelsass,Molsheim,48.54471962,7.49950013
Grenzingen,Grentzingen,Granzìnge,Oberelsass,Altkirch,47.62103365,7.244843296
Greßweiler,Gresswiller,Grasswiller,Unterelsass,Molsheim,48.54471962,7.49950013
Gries,Gries,Gries,Unterelsass,Straßburg-Land,,
Griesbach,Griesbach-le-Bastberg,Grischbe,Unterelsass,Zabern,,
Griesbach,Griesbach,Grischbe,Unterelsass,Haguenau-Wissembourg,,
Griesbach im Tal,Griesbach-au-Val,Grischbe im Dàl,Oberelsass,Colmar-Ribeauvillé,,
Griesheim bei Molsheim,Griesheim-près-Molsheim,Griese,Unterelsass,Molsheim,48.54471962,7.49950013
Griesheim,Griesheim-sur-Souffel,Griese,Unterelsass,Straßburg-Land,,
Groß Rumbach,Grand Rombach,,Oberelsass,,,
Grube im Weilertal,Fouchy,(*) Grüeb,Unterelsass,Schlettstadt-Erstein,,
Grussenheim,Grussenheim,Grüsse,Oberelsass,Colmar-Ribeauvillé,,
Gugenheim,Gougenheim,Gööne,Unterelsass,Straßburg-Land,,
Gumprechtshofen,Gumbrechtshoffen,Gumbertshoffe,Unterelsass,Haguenau-Wissembourg,,
Gundershofen,Gundershoffen,Gunderschoffe,Unterelsass,Haguenau-Wissembourg,,
Gundolsheim,Gundolsheim,Gungelse,Oberelsass,Gebweiler,,
Gungweiler,Gungwiller,Gungwiller,Unterelsass,Zabern,,
Gunsbach,Gunsbach,Gìnschbe,Oberelsass,Colmar-Ribeauvillé,,
Günstett,Gunstett,Gunstett,Unterelsass,Haguenau-Wissembourg,,
Habsheim,Habsheim,Hàbse,Oberelsass,Mülhausen,,
Hägen,Haegen,Haaje / Haage,Unterelsass,Zabern,,
Hagenau,Haguenau,Hàwenau / Hàjenöi,Unterelsass,Haguenau-Wissembourg,,
Hagenbach,Hagenbach,Hàgebàch,Oberelsass,Altkirch,47.62103365,7.244843296
Handschuheim,Handschuheim,Hänsche / Hansche,Unterelsass,Straßburg-Land,,
Hangenbieten,Hangenbieten,Hàngebiete,Unterelsass,Straßburg-Land,,
Harskirchen,Harskirchen,Hàschkìech,Unterelsass,Zabern,,
Harthausen,Harthouse,,,,,
Hartmannsweiler,Hartmannswiller,Hàrtmànnswiller,Oberelsass,Gebweiler,,
Häsingen,Hésingue,Häsige,Oberelsass,Mülhausen,,
Hatten,Hatten,Hàtte,Unterelsass,Haguenau-Wissembourg,,
Hattmatt,Hattmatt,Hàttmàtt,Unterelsass,Zabern,,
Hattstatt,Hattstatt,Hàttschet,Oberelsass,Gebweiler,,
Hausen,Houssen,Hüssa / Hùza,Oberelsass,,,
Häusern,Husseren-les-Châteaux,Hìsre,Oberelsass,Colmar-Ribeauvillé,,
Hausgauen,Hausgauen,Hüsgaie,Oberelsass,Altkirch,47.62103365,7.244843296
Haussen,Houssen,Hüse,Oberelsass,Colmar-Ribeauvillé,,
Hecken,Hecken,Hecke,Oberelsass,Altkirch,47.62103365,7.244843296
Hegeney,Hegeney,Hajenai,Unterelsass,Haguenau-Wissembourg,,
Hegenheim,Hégenheim,Hagene,Oberelsass,Mülhausen,,
Heidolsheim,Heidolsheim,Haidelse,Unterelsass,Schlettstadt-Erstein,,
Heidweiler,Heidwiller,Haidwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Heiligenberg,Heiligenberg,Hellebari,Unterelsass,Molsheim,48.54471962,7.49950013
Heiligenstein,Heiligenstein,Heljestään,Unterelsass,Schlettstadt-Erstein,,
Heiligkreuz,Sainte-Croix-en-Plaine,Heilikriz,Oberelsass,Colmar-Ribeauvillé,,
Heimersdorf,Heimersdorf,Haimersdorf,Oberelsass,Altkirch,47.62103365,7.244843296
Heimsbrunn,Heimsbrunn,Hemschprung,Oberelsass,Mülhausen,,
Heiteren,Heiteren,Haitre,Oberelsass,Colmar-Ribeauvillé,,
Heiweiler,Heiwiller,Haiwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Helfrantskirch,Helfrantzkirch,,Oberelsass,,,
Helfranzkirch,Helfrantzkirch,Halfrànzchìlech,Oberelsass,Mülhausen,,
Henflingen,Henflingen,Haiflìnge,Oberelsass,Altkirch,47.62103365,7.244843296
Hengweiler,Hengwiller,Hangwiller,Unterelsass,Zabern,,
Herbitzheim,Herbitzheim,Herzum,Unterelsass,Zabern,,
Herbsheim,Herbsheim,Herbse,Unterelsass,Schlettstadt-Erstein,,
Herlisheim,Herrlisheim-près-Colmar,Herrlese,Oberelsass,Colmar-Ribeauvillé,,
Herlisheim,Herrlisheim,Harelse,Unterelsass,Haguenau-Wissembourg,,
Hermersweiler,Hermerswiller,,Unterelsass,,,
Hessenheim,Hessenheim,Hesse,Unterelsass,Schlettstadt-Erstein,,
Hettenschlag,Hettenschlag,Hetteschlàg,Oberelsass,Colmar-Ribeauvillé,,
Hilsenheim,Hilsenheim,Hìlse,Unterelsass,Schlettstadt-Erstein,,
Hindisheim,Hindisheim,Hìndse,Unterelsass,Schlettstadt-Erstein,,
Hindlingen,Hindlingen,Hìndlìnge,Oberelsass,Altkirch,47.62103365,7.244843296
Hinsburg,Hinsbourg,Hìnschburi,Unterelsass,Zabern,,
Hinsingen,Hinsingen,Hinsìnge,Unterelsass,Zabern,,
Hipsheim,Hipsheim,Hìpse,Unterelsass,Schlettstadt-Erstein,,
Hirschland,Hirschland,Hìrschland,Unterelsass,Zabern,,
Hirsingen,Hirsingue,Hìrsinge,Oberelsass,Altkirch,47.62103365,7.244843296
Hirzbach,Hirtzbach,Hìrzbàch,Oberelsass,Altkirch,47.62103365,7.244843296
Hirzfelden,Hirtzfelden,Hìrzfalde,Oberelsass,Gebweiler,,
Hochfelden,Hochfelden,Huffalde,Unterelsass,Straßburg-Land,,
Hochstatt,Hochstatt,Huuscht,Oberelsass,Altkirch,47.62103365,7.244843296
Hochstett,Hochstett,Heestett,Unterelsass,Haguenau-Wissembourg,,
Hofen,Hoffen,Hoffe,Unterelsass,Haguenau-Wissembourg,,
Hohatzenheim,Hohatzenheim,Àtzne,Unterelsass,Straßburg-Land,,
Hohengöft,Hohengœft,Hohgäft,Unterelsass,Zabern,,
Hohfrankenheim,Hohfrankenheim,Huhfrànkne,Unterelsass,Straßburg-Land,,
Hohrod,Hohrod,Hohrod,Oberelsass,Colmar-Ribeauvillé,,
Hohwald,Le Hohwald,de Hoowàld,Unterelsass,Schlettstadt-Erstein,,
Hohweiler,Hohwiller,,Unterelsass,,,
Holzheim,Holtzheim,Holze,Unterelsass,Straßburg-Land,,
Holzweier,Holtzwihr,Holzwihr,Oberelsass,Colmar-Ribeauvillé,,
Homburg,Hombourg,Humburg,Oberelsass,Mülhausen,,
Hönheim,Hœnheim,Heene,Unterelsass,Straßburg-Land,,
Horburg-Weier,Horbourg-Wihr,Horwrig-Wihr,Oberelsass,Colmar-Ribeauvillé,,
Hördt,Hœrdt,Herdt,Unterelsass,Straßburg-Land,,
Hunaweier,Hunawihr,Hunewihr,Oberelsass,Colmar-Ribeauvillé,,
Hundsbach,Hundsbach,Hundsbe,Oberelsass,Altkirch,47.62103365,7.244843296
Hüningen,Huningue,Hìnige,Oberelsass,Mülhausen,,
Hunspach,Hunspach,Hunschpàch,Unterelsass,Haguenau-Wissembourg,,
Hürtigheim,Hurtigheim,Hírrige,Unterelsass,Straßburg-Land,,
Hüsseren-Wesserling,Husseren-Wesserling,Hüser-Wasserlìng,Oberelsass,Thann,47.81391113,7.095024572
Hüttendorf,Huttendorf,Hìttedorf,Unterelsass,Haguenau-Wissembourg,,
Hüttenheim,Huttenheim,Hìttene,Unterelsass,Schlettstadt-Erstein,,
Hüttingen,Huttingue,,Oberelsass,,,
Ichtratzheim,Ichtratzheim,Ischterze,Unterelsass,Schlettstadt-Erstein,,
Illfurt,Illfurth,ìllfert,Oberelsass,Altkirch,47.62103365,7.244843296
Illhäusern,Illhaeusern,ìllhìsre,Oberelsass,Colmar-Ribeauvillé,,
Illkirch-Grafenstaden,Illkirch-Graffenstaden,ìllkìrich-Gràffestàde,Unterelsass,Straßburg-Land,,
Illzach,Illzach,Ìllzig,Oberelsass,Mülhausen,,
Ingenheim,Ingenheim,ìngne,Unterelsass,Straßburg-Land,,
Ingersheim,Ingersheim,ìngersche,Oberelsass,Colmar-Ribeauvillé,,
Ingolsheim,Ingolsheim,ìngelse,Unterelsass,Haguenau-Wissembourg,,
Ingweiler,Ingwiller,ìngwiller,Unterelsass,Zabern,,
Innenheim,Innenheim,ìnnle,Unterelsass,Schlettstadt-Erstein,,
Isenheim,Issenheim,Ìsene,Oberelsass,Gebweiler,,
Issenhausen,Issenhausen,Issehüse,Unterelsass,Straßburg-Land,,
Ittenheim,Ittenheim,Ittene,Unterelsass,Straßburg-Land,,
Ittersweiler,Itterswiller,Itterschwiller,Unterelsass,Schlettstadt-Erstein,,
Jebsheim,Jebsheim,Jebse,Oberelsass,Colmar-Ribeauvillé,,
Jettersweiler,Jetterswiller,Jetterschwiller,Unterelsass,Zabern,,
Jettingen,Jettingen,Jettige,Oberelsass,Altkirch,47.62103365,7.244843296
Jungholz,Jungholtz,Jungholz,Oberelsass,Gebweiler,,
Jungmünsterol,Montreux-Jeune,(*) Jungmìnschtràl,Oberelsass,Altkirch,47.62103365,7.244843296
Kaltenhausen,Kaltenhouse,Kàltehüse,Unterelsass,Haguenau-Wissembourg,,
Kampenheim,Champenay,,Unterelsass,,,
Kappeln,Kappelen,Chàppele,Oberelsass,Mülhausen,,
Karspach,Carspach,Karschbach,Oberelsass,Altkirch,47.62103365,7.244843296
Katzenthal,Katzenthal,Kàtzedàl,Oberelsass,Colmar-Ribeauvillé,,
Kauffenheim,Kauffenheim,Kafem,Unterelsass,Haguenau-Wissembourg,,
Kaysersberg,Kaysersberg,Kaiserschbàrig,Oberelsass,Colmar-Ribeauvillé,,
Keffenach,Keffenach,Keffenàch,Unterelsass,Haguenau-Wissembourg,,
Kembs,Kembs,Chems,Oberelsass,Mülhausen,,
Kembs-Löchle,Kembs-Loechlé,,,,,
Kerzfeld,Kertzfeld,Kerzfald,Unterelsass,Schlettstadt-Erstein,,
Keskastel,Keskastel,Kàschel,Unterelsass,Zabern,,
Kesseldorf,Kesseldorf,Kesseldorf,Unterelsass,Haguenau-Wissembourg,,
Kestenholz,Châtenois,Keschteholz,Unterelsass,Schlettstadt-Erstein,,
Kienheim,Kienheim,Kiene,Unterelsass,Straßburg-Land,,
Kienzheim,Kientzheim,Kienze,Oberelsass,Colmar-Ribeauvillé,,
Kienzweiler,Kientzvillé,,,,,
Kiffis,Kiffis,Chìfis,Oberelsass,Altkirch,47.62103365,7.244843296
Kilstett,Kilstett,Kilstett,Unterelsass,Straßburg-Land,,
Kindweiler,Kindwiller,Kìndwìller,Unterelsass,Haguenau-Wissembourg,,
Kingersheim,Kingersheim,Kìngersche,Oberelsass,Mülhausen,,
Kinzheim,Kintzheim,Kìnze,Unterelsass,Schlettstadt-Erstein,,
Kirberg,Kirrberg,Kieberich,Unterelsass,Zabern,,
Kirchberg,Kirchberg,Kìrechbarg,Oberelsass,Thann,47.81391113,7.095024572
Kirchheim,Kirchheim,Kìriche,Unterelsass,Molsheim,48.54471962,7.49950013
Kirweiler,Kirrwiller,Kìrrwiller,Unterelsass,Zabern,,
Kleeburg,Cleebourg,Kleeburi,Unterelsass,Haguenau-Wissembourg,,
Klein Wingen,Petit-Wingen,,,,,
Klein Wisch,Petit-Wisches,,,,,
Kleine Höhe,Petit-Haut,,,,,
Kleingöft,Kleingœft,Klängäft,Unterelsass,Zabern,,
Kleinlandau,Petit-Landau,Làndài,Oberelsass,Mülhausen,,
Klimbach,Climbach,Klimbàch,Unterelsass,Haguenau-Wissembourg,,
Kloster Ölenberg,Oelenberg-Couvent,,,,,
Knöringen,Knœringue,Knehrige,Oberelsass,Mülhausen,,
Knörsheim,Knœrsheim,Knersche,Unterelsass,Zabern,,
Kogenheim,Kogenheim,Koiene,Unterelsass,Schlettstadt-Erstein,,
Kolbsheim,Kolbsheim,Kolbse,Unterelsass,Straßburg-Land,,
Kolrein,Colroy-la-Roche,(*),Unterelsass,Molsheim,48.54471962,7.49950013
Königsbrück,Koenigsbruck,,Unterelsass,,,
Koßweiler,Cosswiller,Kosswiller,Unterelsass,Molsheim,48.54471962,7.49950013
Köstlach,Kœstlach,Chäschli,Oberelsass,Altkirch,47.62103365,7.244843296
Kötzingen,Koetzingue,Ketzige,Oberelsass,Mülhausen,,
Krastatt,Crastatt,Gràscht,Unterelsass,Zabern,,
Krautergersheim,Krautergersheim,Krüterrische,Unterelsass,Schlettstadt-Erstein,,
Krautweiler,Krautwiller,Krütwiller,Unterelsass,Straßburg-Land,,
Kriegsheim,Kriegsheim,Kriejse,Unterelsass,Straßburg-Land,,
Kronenburg,Cronenbourg (Teil von Strasbourg),,Unterelsass,Strasbourg-Ville,,
Kröttweiler,Crœttwiller,Krappere,Unterelsass,Haguenau-Wissembourg,,
Krüt,Kruth,Krit,Oberelsass,Thann,47.81391113,7.095024572
Kunheim,Kunheim,Kuene,Oberelsass,Colmar-Ribeauvillé,,
Kurzenhausen,Kurtzenhouse,Kurzehüse,Unterelsass,Straßburg-Land,,
Küttolsheim,Kuttolsheim,Kìttelse,Unterelsass,Straßburg-Land,,
Kutzenhausen,Kutzenhausen,Kutzehüse,Unterelsass,Haguenau-Wissembourg,,
Laach oder Lach,Lalaye,(*) Lààch,Unterelsass,Schlettstadt-Erstein,,
Lampertheim,Lampertheim,Làmperte,Unterelsass,Straßburg-Land,,
Lampertsloch,Lampertsloch,Làmpertschloch,Unterelsass,Haguenau-Wissembourg,,
Landersheim,Landersheim,Làndersche,Unterelsass,Zabern,,
Landser,Landser,Làndser,Oberelsass,Mülhausen,,
Langensulzbach,Langensoultzbach,Làngesulzbàch,Unterelsass,Haguenau-Wissembourg,,
Largizen,Largitzen,Làrgìtze,Oberelsass,Altkirch,47.62103365,7.244843296
Laubach,Laubach,Laubàch,Unterelsass,Haguenau-Wissembourg,,
Lautenbach,Lautenbach,Lütebàch,Oberelsass,Gebweiler,,
Lautenbachzell,Lautenbachzell,Lütebàchzall,Oberelsass,Gebweiler,,
Lauterburg,Lauterbourg,Lüterburi,Unterelsass,Haguenau-Wissembourg,,
Leberau,Lièpvre,(*) Laweröi,Oberelsass,Colmar-Ribeauvillé,,
Leimbach,Leimbach,Laimbàch,Oberelsass,Thann,47.81391113,7.095024572
Leimen,Leymen,Layme,Oberelsass,Mülhausen,,
Leitersweiler,Leiterswiller,,,,,
Lembach,Lembach,Lämbàch,Unterelsass,Haguenau-Wissembourg,,
Leutenheim,Leutenheim,Littenem,Unterelsass,Haguenau-Wissembourg,,
Lichtenberg,Lichtenberg,Lììschteburi,Unterelsass,Zabern,,
Liebensweiler,Liebenswiller,Liebedswìller,Oberelsass,Mülhausen,,
Liebsdorf,Liebsdorf,Liebsderf,Oberelsass,Altkirch,47.62103365,7.244843296
Limersheim,Limersheim,Limersche,Unterelsass,Schlettstadt-Erstein,,
Lingolsheim,Lingolsheim,Lìngelse,Unterelsass,Straßburg-Land,,
Linsdorf,Linsdorf,Lìnschderf,Oberelsass,Altkirch,47.62103365,7.244843296
Linthal,Linthal,Lìntel,Oberelsass,Gebweiler,,
Lipsheim,Lipsheim,Lìpse,Unterelsass,Straßburg-Land,,
Littenheim,Littenheim,Littne,Unterelsass,Zabern,,
Lixhausen,Lixhausen,Lìxhüse,Unterelsass,Straßburg-Land,,
Lobsann,Lobsann,Lüsann,Unterelsass,Haguenau-Wissembourg,,
Lochweiler,Lochwiller,Lochwiller,Unterelsass,Zabern,,
Logelnheim,Logelheim,Logele,Oberelsass,Colmar-Ribeauvillé,,
Lohr,Lohr,Lohr,Unterelsass,Zabern,,
Lorenzen,Lorentzen,Loränze,Unterelsass,Zabern,,
Luffendorf,Levoncourt,(*) Lüffederf,Oberelsass,Altkirch,47.62103365,7.244843296
Lümschweiler,Luemschwiller,Lüemschwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Lupstein,Lupstein,Lupschte,Unterelsass,Zabern,,
Luttenbach bei Münster,Luttenbach-près-Munster,Lüttebà bi Mìnschter,Oberelsass,Colmar-Ribeauvillé,,
Lutter,Lutter,Lütter,Oberelsass,Altkirch,47.62103365,7.244843296
Lutterbach,Lutterbach,Lütterbàch,Oberelsass,Mülhausen,,
Lützel,Lucelle,Lìtzel,Oberelsass,Altkirch,47.62103365,7.244843296
Lützelhausen,Lutzelhouse,Lìtzelhüse,Unterelsass,Molsheim,48.54471962,7.49950013
Lützelstein,La Petite-Pierre,Lìtzelstäin,Unterelsass,Zabern,,
Lüxdorf,Ligsdorf,Lìgschderf,Oberelsass,Altkirch,47.62103365,7.244843296
Mackenheim,Mackenheim,Màckene,Unterelsass,Schlettstadt-Erstein,,
Mackweiler,Mackwiller,Mackwiller,Unterelsass,Zabern,,
Malmerspach,Malmerspach,Màlmerschbàch,Oberelsass,Thann,47.81391113,7.095024572
Männolsheim,Maennolsheim,Mannelse,Unterelsass,Zabern,,
Manspach,Manspach,Mànschbàch,Oberelsass,Altkirch,47.62103365,7.244843296
Markirch,Sainte-Marie-aux-Mines,Màrkirich,Oberelsass,Colmar-Ribeauvillé,,
Markolsheim,Marckolsheim,Màrkelse,Unterelsass,Schlettstadt-Erstein,,
Marlenheim,Marlenheim,Mààrle,Unterelsass,Molsheim,48.54471962,7.49950013
Marxenhausen,Marxenhouse,,,,,
Masmünster,Masevaux,Màsmìnschter,Oberelsass,Thann,47.81391113,7.095024572
Matzenheim,Matzenheim,Màtzene,Unterelsass,Schlettstadt-Erstein,,
Maursmünster,Marmoutier,Màschmìnschter,Unterelsass,Zabern,,
Meienheim,Meyenheim,Maiene,Oberelsass,Gebweiler,,
Meisengott,Maisonsgoutte,Maisegott,Unterelsass,Schlettstadt-Erstein,,
Meistratzheim,Meistratzheim,Mäischterze,Unterelsass,Schlettstadt-Erstein,,
Melsheim,Melsheim,Malse,Unterelsass,Straßburg-Land,,
Memmelshofen,Memmelshoffen,Mammelshoffe,Unterelsass,Haguenau-Wissembourg,,
Menchhofen,Menchhoffen,Manischoffe,Unterelsass,Zabern,,
Menglatt,Magny,(*) Màngloot,Oberelsass,Altkirch,47.62103365,7.244843296
Merkweiler-Pechelbronn,Merkwiller-Pechelbronn,Merikwiller-Beschelbrunn,Unterelsass,Haguenau-Wissembourg,,
Merxheim,Merxheim,Marxe,Oberelsass,Gebweiler,,
Merzen,Mertzen,Merze,Oberelsass,Altkirch,47.62103365,7.244843296
Merzweiler,Mertzwiller,Merzwiller,Unterelsass,Haguenau-Wissembourg,,
Metzeral,Metzeral,Matzeràl,Oberelsass,Colmar-Ribeauvillé,,
Michelbach,Michelbach,Mìchelbàch,Oberelsass,Thann,47.81391113,7.095024572
Michelbrunn,Grandfontaine,Grossbrunn,Unterelsass,Molsheim,48.54471962,7.49950013
Mietesheim,Mietesheim,Mietsem,Unterelsass,Haguenau-Wissembourg,,
Minversheim,Minversheim,Mìnversche,Unterelsass,Straßburg-Land,,
Mittelbergheim,Mittelbergheim,Mìttelbarige,Unterelsass,Schlettstadt-Erstein,,
Mittelhausbergen,Mittelhausbergen,Mìttelhüsbarje,Unterelsass,Straßburg-Land,,
Mittelhausen,Mittelhausen,Mìttelhüse,Unterelsass,Straßburg-Land,,
Mittelschäffolsheim,Mittelschaeffolsheim,Mìttelschafelse,Unterelsass,Straßburg-Land,,
Mittelscher,Charbes,,,,,
Mittel-Weier,Mittelwihr,Mìttelwihr,Oberelsass,Colmar-Ribeauvillé,,
Mittlach,Mittlach,Mìttlàch,Oberelsass,Colmar-Ribeauvillé,,
Mitzach,Mitzach,Mìtzàch,Oberelsass,Thann,47.81391113,7.095024572
Mollau,Mollau,Mollo,Oberelsass,Thann,47.81391113,7.095024572
Mollkirch,Mollkirch,Mollkìrich,Unterelsass,Molsheim,48.54471962,7.49950013
Molsheim,Molsheim,Molse,Unterelsass,Molsheim,48.54471962,7.49950013
Mommenheim,Mommenheim,Mummle,Unterelsass,Straßburg-Land,,
Monsweiler,Monswiller,Monswiller,Unterelsass,Zabern,,
Moosch,Moosch,Mohsch,Oberelsass,Thann,47.81391113,7.095024572
Moos (Teil von Mooslarg),Mooslargue,Moos-Neederlàrg,Oberelsass,Altkirch,47.62103365,7.244843296
Mooslarg,Mooslargue,Moos-Neederlàrg,Oberelsass,Altkirch,47.62103365,7.244843296
Mörnach,Mœrnach,Merne,Oberelsass,Altkirch,47.62103365,7.244843296
Morschweiler,Morschwiller,Morschwìller,Unterelsass,Haguenau-Wissembourg,,
Morzweiler,Mortzwiller,Morzwiller,Oberelsass,Thann,47.81391113,7.095024572
Mothern,Mothern,Modere,Unterelsass,Haguenau-Wissembourg,,
Mühlbach an der Breusch,Muhlbach-sur-Bruche,Meelbàch,Unterelsass,Molsheim,48.54471962,7.49950013
Mühlbach im Elsaß,Muhlbach-sur-Munster,Mìlbe,Oberelsass,Colmar,48.10994058,7.384686903
Mühlhausen b. Zabern,Mulhausen,Mielhüse,Unterelsass,Zabern,,
Mülhausen,Mulhouse,Milhüüsa,Oberelsass,Mülhausen,,
Münchhausen,Munchhouse,Mìnkhüse,Oberelsass,Gebweiler,,
Münchhausen,Munchhausen,Minichhause,Unterelsass,Haguenau-Wissembourg,,
Mundolsheim,Mundolsheim,Mundelse,Unterelsass,Straßburg-Land,,
Münster im Elsass,Munster,Mìnschter,Oberelsass,Colmar-Ribeauvillé,,
Munweiler,Munwiller,Munwiller,Oberelsass,Gebweiler,,
Munzenheim,Muntzenheim,Munze,Oberelsass,Colmar-Ribeauvillé,,
Murbach,Murbach,Müerbàch,Oberelsass,Gebweiler,,
Muspach,Muespach,Müeschbe,Oberelsass,Altkirch,47.62103365,7.244843296
Mussig,Mussig,Müssig,Unterelsass,Schlettstadt-Erstein,,
Müttersholz,Muttersholtz,Mieterschulz,Unterelsass,Schlettstadt-Erstein,,
Mutzenhausen,Mutzenhouse,Mutzehüse,Unterelsass,Straßburg-Land,,
Mutzig,Mutzig,Mützig,Unterelsass,Molsheim,48.54471962,7.49950013
Nambsheim,Nambsheim,Nàmbse,Oberelsass,Colmar,48.10994058,7.384686903
Natzweiler,Natzwiller,Nàswil,Unterelsass,Molsheim,48.54471962,7.49950013
Nehweiler,Neewiller-près-Lauterbourg,Nawiller,Unterelsass,Haguenau-Wissembourg,,
Nehweiler bei Wörth,Nehwiller,,,,,
Neu-Breisach,Neuf-Brisach,Nej-Brisàch,Oberelsass,Colmar,48.10994058,7.384686903
Neuburg (Teil von Dauendorf),Neubourg (Teil von Dauendorf),,Unterelsass,Haguenau-Wissembourg,,
Neudorf b. Hüningen,Village-Neuf,Neidorf,Oberelsass,Mülhausen,,
Neugartheim-Ittlenheim,Neugartheim-Ittlenheim,Neierte-ìttle,Unterelsass,Straßburg-Land,,
Neuhäusel,Neuhaeusel,Neihisel,Unterelsass,Haguenau-Wissembourg,,
Neukirch,Neuve-Église,Neikìrich,Unterelsass,Schlettstadt-Erstein,,
Neunhofen,Neunhoffen,,,,,
Neu-Weiler,Neuwiller,Neiwìller,Oberelsass,Mülhausen,,
Neuweiler,Neuviller-la-Roche,(*),Unterelsass,Molsheim,48.54471962,7.49950013
Neuweiler,Neuwiller-lès-Saverne,Neiwiller,Unterelsass,Zabern,,
Niederaltdorf,Niederaltdorf,,,,,
Niederaspach,Aspach-le-Bas,Neederàschbàch,Oberelsass,Thann,47.81391113,7.095024572
Niederbruck,Niederbruck,Nìderbrucke,Oberelsass,Thann,47.81391113,7.095024572
Niederburbach,Bourbach-le-Bas,Neederburbàch,Oberelsass,Thann,47.81391113,7.095024572
Niederburnhaupt,Burnhaupt-le-Bas,Neederburnhaipt,Oberelsass,Thann,47.81391113,7.095024572
Niederehnheim,Niedernai,Nìdernahn,Unterelsass,Schlettstadt-Erstein,,
Niederenzen,Niederentzen,Neederanze,Oberelsass,Gebweiler,,
Niederhagenthal,Hagenthal-le-Bas,Neederhàgethàl,Oberelsass,Mülhausen,,
Niederhaslach,Niederhaslach,ìngerhosle,Unterelsass,Molsheim,48.54471962,7.49950013
Niederhausbergen,Niederhausbergen,Nìderhüsbarje,Unterelsass,Straßburg-Land,,
Niederhergheim,Niederhergheim,Neederherge,Oberelsass,Gebweiler,,
Niederlarg (Teil von Mooslarg),Mooslargue,Moos-Neederlàrg,Oberelsass,Altkirch,47.62103365,7.244843296
Niederlauterbach,Niederlauterbach,Niderlauterbach,Unterelsass,Haguenau-Wissembourg,,
Niedermagstatt,Magstatt-le-Bas,Màschgetz,Oberelsass,Mülhausen,,
Nieder-Michelbach,Michelbach-le-Bas,Needermìchelbàch,Oberelsass,Mülhausen,,
Niedermodern,Niedermodern,Nìdermodere,Unterelsass,Zabern,,
Niedermorschweier,Niedermorschwihr,Niedermorschwihr,Oberelsass,Rappoltsweiler,,
Niedermorschweiler,Morschwiller-le-Bas,Needermorschwìller,Oberelsass,Mülhausen,,
Niedermüspach,Muespach-le-Bas,Needermüeschbe,Oberelsass,Altkirch,47.62103365,7.244843296
Niederranspach,Ranspach-le-Bas,Neederraischbe,Oberelsass,Mülhausen,,
Niederrödern,Niederrœdern,Nìderreddere,Unterelsass,Haguenau-Wissembourg,,
Niederschäffolsheim,Niederschaeffolsheim,Nìderschafelse,Unterelsass,Haguenau-Wissembourg,,
Niedersept,Seppois-le-Bas,Sept,Oberelsass,Altkirch,47.62103365,7.244843296
Niederspechbach,Spechbach-le-Bas,Neederspachbi,Oberelsass,Altkirch,47.62103365,7.244843296
Niedersteinbach,Niedersteinbach,Nìderstanbach,Unterelsass,Haguenau-Wissembourg,,
Niedersteinbrunn,Steinbrunn-le-Bas,Niederstaibrunn,Oberelsass,Mülhausen,,
Niedersulzbach,Soppe-le-Bas,Needersulzbàch,Oberelsass,Thann,47.81391113,7.095024572
Niedersulzbach,Niedersoultzbach,Nìdersulzbach,Unterelsass,Zabern,,
Niedertraubach,Traubach-le-Bas,Needertröibàch,Oberelsass,Altkirch,47.62103365,7.244843296
